1,Tom,Hanks,,M,1956-07-09,,USA,183,5,2,Drama,false,"Forrest Gump",4800000000
2,Meryl,Streep,,F,1949-06-22,,USA,168,21,3,Drama,false,"The Devil Wears Prada",2100000000
3,Cate,Blanchett,,F,1969-05-14,,Australia,174,8,2,Drama,false,"Elizabeth",5100000000
4,Marlon,Brando,,M,1924-04-03,2004-07-01,USA,175,8,2,Drama,false,"The Godfather",1600000000
5,Audrey,Hepburn,Audrey Kathleen Ruston,F,1929-05-04,1993-01-20,UK,170,5,1,Romance,true,"Breakfast at Tiffany's",920000000
6,Humphrey,Bogart,,M,1899-12-25,1957-01-14,USA,175,3,1,Drama,false,"Casablanca",710000000
7,Katharine,Hepburn,,F,1907-05-12,2003-06-29,USA,168,12,4,Drama,false,"The Philadelphia Story",890000000
8,Jack,Nicholson,,M,1937-04-22,,USA,177,12,3,Drama,false,"One Flew Over the Cuckoo's Nest",2800000000
9,Denzel,Washington,,M,1954-12-28,,USA,185,9,2,Drama,false,"Training Day",3200000000
10,Ingrid,Bergman,,F,1915-08-29,1982-08-29,Sweden,170,7,3,Drama,false,"Casablanca",750000000
11,James,Stewart,,M,1908-05-20,1997-07-02,USA,188,5,1,Drama,true,"It's a Wonderful Life",980000000
12,Bette,Davis,,F,1908-04-05,1989-10-06,USA,163,10,2,Drama,false,"All About Eve",620000000
13,Sidney,Poitier,,M,1927-02-20,2022-01-06,USA,188,2,1,Drama,true,"In the Heat of the Night",670000000
14,Jane,Fonda,,F,1937-12-21,,USA,170,7,2,Drama,false,"Klute",540000000
15,Al,Pacino,,M,1940-04-25,,USA,170,9,1,Drama,false,"The Godfather",2400000000
16,Robert,De Niro,,M,1943-08-17,,USA,177,8,2,Drama,false,"Taxi Driver",3500000000
17,Sophia,Loren,Sofia Villani Scicolone,F,1934-09-20,,Italy,170,5,1,Drama,true,"Two Women",480000000
18,Marcello,Mastroianni,,M,1924-09-28,1996-12-19,Italy,180,3,0,Drama,false,"8½",210000000
19,Jeanne,Moreau,,F,1928-01-23,2017-07-31,France,163,0,0,Drama,false,"Jules and Jim",95000000
20,Jean-Paul,Belmondo,,M,1933-04-09,2021-09-06,France,180,0,0,Action,false,"Breathless",180000000
21,Catherine,Deneuve,Catherine Fabienne Dorléac,F,1943-10-22,,France,168,2,0,Drama,false,"Belle de Jour",230000000
22,Isabelle,Huppert,,F,1953-03-16,,France,160,2,0,Drama,false,"The Piano Teacher",120000000
23,Gérard,Depardieu,,M,1948-12-27,,France,180,1,0,Drama,false,"Cyrano de Bergerac",310000000
24,Alec,Guinness,,M,1914-04-02,2000-08-05,UK,180,5,1,Drama,true,"The Bridge on the River Kwai",870000000
25,Peter,Sellers,Richard Henry Sellers,M,1925-09-08,1980-07-24,UK,178,3,0,Comedy,false,"Dr. Strangelove",620000000
26,Julie,Andrews,Julia Elizabeth Wells,F,1935-10-01,,UK,168,2,1,Musical,true,"The Sound of Music",1800000000
27,Judi,Dench,,F,1934-12-09,,UK,153,7,1,Drama,false,"Shakespeare in Love",1200000000
28,Anthony,Hopkins,,M,1937-12-31,,UK,175,6,1,Drama,false,"The Silence of the Lambs",2700000000
29,Colin,Firth,,M,1960-09-10,,UK,185,2,1,Drama,false,"The King's Speech",890000000
30,Helena,Bonham Carter,,F,1966-05-26,,UK,158,2,0,Drama,false,"Fight Club",2200000000
31,Hugh,Jackman,,M,1968-10-12,,Australia,188,1,0,Action,false,"Logan",4600000000
32,Nicole,Kidman,,F,1967-06-20,,Australia,180,5,1,Drama,false,"Moulin Rouge!",3800000000
33,Geoffrey,Rush,,M,1951-07-06,,Australia,185,4,1,Drama,false,"Shine",2100000000
34,Russell,Crowe,Russell Ira Crowe,M,1964-04-07,,New Zealand,183,3,1,Action,false,"Gladiator",2600000000
35,Mel,Gibson,,M,1956-01-03,,USA,177,2,0,Action,false,"Braveheart",1900000000
36,Heath,Ledger,Heathcliff Andrew Ledger,M,1979-04-04,2008-01-22,Australia,185,2,1,Drama,false,"The Dark Knight",1200000000
37,Toni,Collette,,F,1972-11-01,,Australia,165,1,0,Horror,false,"The Sixth Sense",890000000
38,Naomi,Watts,,F,1968-09-28,,UK,165,2,0,Drama,false,"Mulholland Drive",850000000
39,Guy,Pearce,,M,1967-10-05,,UK,180,0,0,Thriller,false,"Memento",670000000
